dataset,metric,gap,rel_gap,sim_random,sim_cluster,sim_drop
ames,auroc,0.1424377922499819,0.1597033720592433,0.6454221384307519,0.3484097485257915,0.2970123899049604
bbb_martins,auroc,0.17061166736459,0.18580216001329092,0.5538963965092144,0.2905676124933936,0.2633287840158208
bioavailability_ma,auroc,0.0541955093326551,0.07600125931153529,0.44925198938051647,0.25990426150758605,0.18934772787293042
caco2_wang,mae,0.101116607884662,0.3108473968701366,0.6212898952355879,0.2666034015185721,0.35468649371701577
clearance_hepatocyte_az,spearman,0.2471407376729311,0.5188986369220575,0.5452103371546745,0.2810220030021595,0.26418833415251497
clearance_microsome_az,spearman,0.2824896177621412,0.5481453208079019,0.5729299407575803,0.27667548429324307,0.29625445646433723
cyp2c9_substrate_carbonmangels,auprc,0.0805184630785796,0.22491494911967658,0.47057646919247786,0.26981140565335543,0.20076506353912243
cyp2c9_veith,auprc,0.1261994320060851,0.15940191812681045,0.5764799160304253,0.3361230878852597,0.24035682814516557
cyp2d6_substrate_carbonmangels,auprc,0.1522411940322089,0.24744372449601912,0.447079097508747,0.2776232582724839,0.16945583923626312
cyp2d6_veith,auprc,0.2118365497338707,0.30538654248438274,0.5703683055790041,0.3417564532274426,0.2286118523515615
cyp3a4_substrate_carbonmangels,auroc,0.0475007537778163,0.07317724461243542,0.4477400570048222,0.273168006278588,0.17457205072623422
cyp3a4_veith,auprc,0.1934623833355063,0.22473558450302933,0.5614698429901759,0.34066733681163086,0.22080250617854502
dili,auroc,0.0899648951892484,0.10649311717255507,0.36848192990533835,0.25831594914297634,0.110165980762362
half_life_obach,spearman,0.1481934152549104,0.480481614358269,0.44690699033072756,0.25351584855380815,0.1933911417769194
herg,auroc,0.0552007176773385,0.06574957985173448,0.546595398547794,0.25666939156684737,0.28992600698094667
hia_hou,auroc,0.0431814586990023,0.045144190381874554,0.4353053202372657,0.26682753427789785,0.16847778595936785
ld50_zhu,mae,0.1131518176289028,0.24391338477117236,0.5708775825268758,0.3464392438850498,0.224438338641826
lipophilicity_astrazeneca,mae,0.3120346134501257,0.5252115515600577,0.6301530407411405,0.31794701603326275,0.3122060247078778
pgp_broccatelli,auroc,0.1711826144050411,0.1850802845688829,0.6023545436649598,0.25896589358733485,0.3433886500776249
ppbr_az,mae,5.762796606646791,0.5828224626855346,0.5874501827140579,0.2845417212413508,0.3029084614727071
solubility_aqsoldb,mae,0.4144520578845864,0.4254854035997524,0.6187458523113716,0.3404635885627468,0.2782822637486248
vdss_lombardo,spearman,0.2384188221682594,0.4827335403584422,0.4447047164452598,0.26255306881450474,0.18215164763075503
