dataset,task,metric,model,split,split_seed,model_seed,score,test_label,n_test,secs
ames,classification,auroc,xgboost,random,0,0,0.9014274324467114,0.5558,1452,1.1
ames,classification,auroc,xgboost,random,0,1,0.9002708855652575,0.5558,1452,0.9
ames,classification,auroc,xgboost,random,0,2,0.8986321239541608,0.5558,1452,1.0
ames,classification,auroc,xgboost,scaffold,0,0,0.8393195774100772,0.4539,1452,1.0
ames,classification,auroc,xgboost,scaffold,0,1,0.8371189868863941,0.4539,1452,1.0
ames,classification,auroc,xgboost,scaffold,0,2,0.8347834905958241,0.4539,1452,0.9
ames,classification,auroc,xgboost,cluster,0,0,0.7468144557389587,0.3912,1452,1.0
ames,classification,auroc,xgboost,cluster,0,1,0.7538128943343319,0.3912,1452,1.0
ames,classification,auroc,xgboost,cluster,0,2,0.7452530511121026,0.3912,1452,1.0
ames,classification,auroc,xgboost,random,1,0,0.8926213279616366,0.5503,1452,1.0
ames,classification,auroc,xgboost,random,1,1,0.8967909734028179,0.5503,1452,1.0
ames,classification,auroc,xgboost,random,1,2,0.8933218590619592,0.5503,1452,1.0
ames,classification,auroc,xgboost,scaffold,1,0,0.8292283310237112,0.4532,1452,1.0
ames,classification,auroc,xgboost,scaffold,1,1,0.8246872439956205,0.4532,1452,1.0
ames,classification,auroc,xgboost,scaffold,1,2,0.8328659857747698,0.4532,1452,1.0
ames,classification,auroc,xgboost,cluster,1,0,0.7498672209443487,0.3884,1452,1.0
ames,classification,auroc,xgboost,cluster,1,1,0.7510262922496965,0.3884,1452,1.0
ames,classification,auroc,xgboost,cluster,1,2,0.7428229426234745,0.3884,1452,1.0
ames,classification,auroc,xgboost,random,2,0,0.8867889503014886,0.5296,1452,0.9
ames,classification,auroc,xgboost,random,2,1,0.8868917629900976,0.5296,1452,1.0
ames,classification,auroc,xgboost,random,2,2,0.8850639818592723,0.5296,1452,1.0
ames,classification,auroc,xgboost,scaffold,2,0,0.8290581262620138,0.4401,1452,0.9
ames,classification,auroc,xgboost,scaffold,2,1,0.8242911067608328,0.4401,1452,1.1
ames,classification,auroc,xgboost,scaffold,2,2,0.8249985082010445,0.4401,1452,0.9
ames,classification,auroc,xgboost,cluster,2,0,0.7467383321358128,0.3919,1452,1.0
ames,classification,auroc,xgboost,cluster,2,1,0.7491177822847896,0.3919,1452,1.0
ames,classification,auroc,xgboost,cluster,2,2,0.7511150873659257,0.3919,1452,1.0
ames,classification,auroc,xgboost,random,3,0,0.902075171013192,0.5517,1452,0.9
ames,classification,auroc,xgboost,random,3,1,0.8999340302348637,0.5517,1452,1.0
ames,classification,auroc,xgboost,random,3,2,0.9016801195126676,0.5517,1452,0.9
ames,classification,auroc,xgboost,scaffold,3,0,0.8240546904408883,0.4449,1452,0.9
ames,classification,auroc,xgboost,scaffold,3,1,0.8260415306255713,0.4449,1452,1.0
