dataset,model,metric,realistic,random_mean,realistic_mean,n,mean,ci_lo,ci_hi,p_wilcoxon,p_ttest,established,q_value
ames,xgboost,auroc,scaffold,0.8918896978402148,0.827611315353808,24,0.06427838248640676,0.061352778706208276,0.06728693181667893,1.1920928955078125e-07,3.384970143262561e-23,True,2.6226043701171877e-07
ames,xgboost,auroc,cluster,0.8918896978402148,0.749451905590233,24,0.1424377922499819,0.1374612876242986,0.1471594427074762,1.1920928955078125e-07,4.7705038484575466e-26,True,1.873288835797991e-07
bbb_martins,xgboost,auroc,scaffold,0.9182437241439264,0.9003370951075494,24,0.017906629036376864,0.01136778419133425,0.025635350923568414,2.467632293701172e-05,7.745934258877906e-05,True,4.175993112417368e-05
bbb_martins,xgboost,auroc,cluster,0.9182437241439264,0.7476320567793363,24,0.17061166736459,0.16435820501932252,0.17686844619921913,1.1920928955078125e-07,3.0365507487643044e-25,True,1.873288835797991e-07
bioavailability_ma,xgboost,auroc,scaffold,0.713086991236597,0.6736360215106999,24,0.03945096972589723,0.010321481893681268,0.06857273648097165,0.02112710475921631,0.01913378562342754,True,0.025822016927931044
bioavailability_ma,xgboost,auroc,cluster,0.713086991236597,0.658891481903942,24,0.054195509332655135,0.03465531936383575,0.07298315335040305,9.083747863769531e-05,2.084644553771939e-05,True,9.516307285853795e-05
caco2_wang,xgboost,mae,scaffold,0.3252934041037046,0.41874455815409356,24,0.093451154050389,0.08271648792919346,0.10552818574667933,1.1920928955078125e-07,6.476509603995245e-14,True,2.6226043701171877e-07
caco2_wang,xgboost,mae,cluster,0.3252934041037046,0.42641001198836664,24,0.10111660788466204,0.09234885978067754,0.11133884847262357,1.1920928955078125e-07,4.406844042520349e-16,True,1.873288835797991e-07
clearance_hepatocyte_az,xgboost,spearman,scaffold,0.47627941198476015,0.38340020485621595,24,0.09287920712854407,0.052383963748256365,0.1349954045586837,0.0005675554275512695,0.0002174206475618595,True,0.0007803887128829956
clearance_hepatocyte_az,xgboost,spearman,cluster,0.47627941198476015,0.22913867431182897,24,0.24714073767293118,0.2224329685014733,0.2726610479890058,1.1920928955078125e-07,4.984162483894751e-15,True,1.873288835797991e-07
clearance_microsome_az,xgboost,spearman,scaffold,0.5153553392479656,0.35363969496377684,24,0.1617156442841888,0.13471339107442665,0.1871707748692744,1.1920928955078125e-07,2.359240105938858e-11,True,2.6226043701171877e-07
clearance_microsome_az,xgboost,spearman,cluster,0.5153553392479656,0.23286572148582438,24,0.28248961776214127,0.2610711862982469,0.30351416602145753,1.1920928955078125e-07,1.5687350609173922e-18,True,1.873288835797991e-07
cyp2c9_substrate_carbonmangels,xgboost,auprc,scaffold,0.3579951594757535,0.30530032257795875,24,0.05269483689779467,0.03081934619494422,0.07432728369211145,0.00020515918731689453,9.550798206147503e-05,True,0.0003223930086408343
cyp2c9_substrate_carbonmangels,xgboost,auprc,cluster,0.3579951594757535,0.2774766963971738,24,0.08051846307857961,0.05751205151896533,0.10163177744860089,1.633167266845703e-05,5.39645789077134e-07,True,1.8910357826634456e-05
cyp2c9_veith,xgboost,auprc,scaffold,0.7917058557958413,0.7532819764582749,24,0.03842387933756652,0.032583584857479996,0.04490616559048667,1.1920928955078125e-07,1.534670821301297e-11,True,2.6226043701171877e-07
cyp2c9_veith,xgboost,auprc,cluster,0.7917058557958413,0.665506423789756,24,0.12619943200608516,0.1190092358594724,0.1329175175673483,1.1920928955078125e-07,1.8500158079274246e-21,True,1.873288835797991e-07
cyp2d6_substrate_carbonmangels,xgboost,auprc,scaffold,0.6152558297539615,0.527466814356662,24,0.08778901539729961,0.05831768612303291,0.11722945470894358,1.633167266845703e-05,1.3925122937469003e-05,True,2.9941399892171223e-05
cyp2d6_substrate_carbonmangels,xgboost,auprc,cluster,0.6152558297539615,0.4630146357217526,24,0.15224119403220895,0.10704746307627501,0.19583644252470644,2.9802322387695312e-06,1.9970356846389347e-06,True,3.856771132525276e-06
cyp2d6_veith,xgboost,auprc,scaffold,0.6936669442292267,0.6223120890380498,24,0.0713548551911769,0.062087837321648166,0.08115187618472022,1.1920928955078125e-07,8.071978313368753e-13,True,2.6226043701171877e-07
cyp2d6_veith,xgboost,auprc,cluster,0.6936669442292267,0.4818303944953559,24,0.2118365497338707,0.20408676350770308,0.2189784572910519,1.1920928955078125e-07,8.00127288999004e-26,True,1.873288835797991e-07
cyp3a4_substrate_carbonmangels,xgboost,auroc,scaffold,0.6491191903902901,0.6270085324065197,24,0.022110657983770526,0.005209107973669516,0.03784762321812029,0.03148162364959717,0.018687066773757737,True,0.03645240633111251
cyp3a4_substrate_carbonmangels,xgboost,auroc,cluster,0.6491191903902901,0.6016184366124738,24,0.047500753777816394,0.029769762016783843,0.06613851741697792,5.328655242919922e-05,3.870045322162108e-05,True,5.861520767211914e-05
cyp3a4_veith,xgboost,auprc,scaffold,0.8608444620077446,0.8111981520184708,24,0.04964630998927386,0.04476594431187575,0.05455270740065838,1.1920928955078125e-07,2.3100666446352894e-15,True,2.6226043701171877e-07
cyp3a4_veith,xgboost,auprc,cluster,0.8608444620077446,0.6673820786722383,24,0.19346238333550636,0.18752655527155446,0.19927514459058734,1.1920928955078125e-07,2.9868358633432366e-27,True,1.873288835797991e-07
dili,xgboost,auroc,scaffold,0.8447953969032072,0.8194071034033925,24,0.025388293499814543,-0.0021439814572903745,0.05027019916230461,0.045679688453674316,0.07872234613076752,False,0.05024765729904175
dili,xgboost,auroc,cluster,0.8447953969032072,0.7548305017139588,24,0.0899648951892484,0.06878618129321082,0.11120935760698854,1.6689300537109375e-06,4.3225112393788464e-08,True,2.294778823852539e-06
half_life_obach,xgboost,spearman,scaffold,0.3084268176480331,0.23686565931331416,24,0.07156115833471897,0.03833936429952969,0.10077155861911335,0.00027811527252197266,0.0002520869587801435,True,0.0004079023996988932
half_life_obach,xgboost,spearman,cluster,0.3084268176480331,0.16023340239312267,24,0.14819341525491048,0.10552294374251975,0.18600837714143184,3.933906555175781e-06,5.397559117089193e-07,True,4.808108011881511e-06
herg,xgboost,auroc,scaffold,0.8395600063424938,0.8415761583604854,24,-0.002016152017991472,-0.009960009167604313,0.005725335677552792,0.899570107460022,0.6264232103657631,False,0.899570107460022
herg,xgboost,auroc,cluster,0.8395600063424938,0.7843592886651555,24,0.05520071767733855,0.04334578570383869,0.06795424737092379,2.384185791015625e-07,1.2637161848933277e-08,True,3.4968058268229164e-07
hia_hou,xgboost,auroc,scaffold,0.9565230505571257,0.935035687515119,24,0.021487363042006682,-0.0006946373446345632,0.0420627300957831,0.05264079570770264,0.06995533503163757,False,0.055147500265212285
hia_hou,xgboost,auroc,cluster,0.9565230505571257,0.9133415918581234,24,0.043181458699002306,0.01625060586971358,0.06979379343524898,0.009575724601745605,0.005036281701081984,True,0.009575724601745605
ld50_zhu,xgboost,mae,scaffold,0.46390163350427177,0.5105240608861394,24,0.046622427381867594,0.041111789287662695,0.05240298706971973,1.1920928955078125e-07,2.0668723362896932e-14,True,2.6226043701171877e-07
ld50_zhu,xgboost,mae,cluster,0.46390163350427177,0.5770534511331746,24,0.11315181762890288,0.10821633278909645,0.11834279173474929,1.1920928955078125e-07,1.0802313096780713e-23,True,1.873288835797991e-07
lipophilicity_astrazeneca,xgboost,mae,scaffold,0.5941122439582227,0.7222761853915207,24,0.12816394143329798,0.12110891584608748,0.13529670235614819,1.1920928955078125e-07,3.969603700919468e-21,True,2.6226043701171877e-07
lipophilicity_astrazeneca,xgboost,mae,cluster,0.5941122439582227,0.9061468574083484,24,0.3120346134501257,0.3070452737077012,0.3175065351656361,1.1920928955078125e-07,4.778366713831615e-33,True,1.873288835797991e-07
pgp_broccatelli,xgboost,auroc,scaffold,0.9249100454096753,0.8982805442403121,24,0.02662950116936308,0.017977910493839476,0.036827753320511684,5.960464477539062e-07,1.5776951584687027e-05,True,1.1920928955078125e-06
pgp_broccatelli,xgboost,auroc,cluster,0.9249100454096753,0.7537274310046342,24,0.1711826144050411,0.16579963543954804,0.1768588928696117,1.1920928955078125e-07,2.3555066858784554e-26,True,1.873288835797991e-07
ppbr_az,xgboost,mae,scaffold,9.887739364218953,12.152501985183603,24,2.2647626209646496,2.089586558501895,2.4500487898460426,1.1920928955078125e-07,1.4672655692087214e-17,True,2.6226043701171877e-07
ppbr_az,xgboost,mae,cluster,9.887739364218953,15.650535970865745,24,5.762796606646791,5.613913080237601,5.909383577148566,1.1920928955078125e-07,7.709064840702029e-29,True,1.873288835797991e-07
solubility_aqsoldb,xgboost,mae,scaffold,0.974068803249606,1.1846018603666006,24,0.2105330571169948,0.19918631350245003,0.22231590069993515,1.1920928955078125e-07,3.649979739885476e-21,True,2.6226043701171877e-07
solubility_aqsoldb,xgboost,mae,cluster,0.974068803249606,1.3885208611341924,24,0.41445205788458644,0.40417090521300264,0.42549376587498056,1.1920928955078125e-07,1.3918698689235773e-28,True,1.873288835797991e-07
vdss_lombardo,xgboost,spearman,scaffold,0.4938932190028214,0.4373424528061669,24,0.056550766196654445,0.022873394815974595,0.08900751089401854,0.0039006471633911133,0.0033877544031722974,True,0.005047896329094382
vdss_lombardo,xgboost,spearman,cluster,0.4938932190028214,0.25547439683456197,24,0.2384188221682594,0.21886450009576508,0.2584405012472383,1.1920928955078125e-07,2.291140078300689e-17,True,1.873288835797991e-07
