dataset,task,metric,model,split,split_seed,model_seed,score,test_label,n_test,secs
bbb_martins,classification,auroc,xgboost,random,0,0,0.9215504720406681,0.7727,396,1.2
bbb_martins,classification,auroc,xgboost,random,0,1,0.9167211328976035,0.7727,396,1.0
bbb_martins,classification,auroc,xgboost,random,0,2,0.9223493100944081,0.7727,396,0.8
bbb_martins,classification,auroc,rf,random,0,0,0.9287218591140161,0.7727,396,1.4
bbb_martins,classification,auroc,rf,random,0,1,0.9266339869281045,0.7727,396,0.5
bbb_martins,classification,auroc,rf,random,0,2,0.9302650689905593,0.7727,396,0.5
bbb_martins,classification,auroc,xgboost,scaffold,0,0,0.8943055555555556,0.7576,396,0.8
bbb_martins,classification,auroc,xgboost,scaffold,0,1,0.8958333333333334,0.7576,396,0.8
bbb_martins,classification,auroc,xgboost,scaffold,0,2,0.8909722222222222,0.7576,396,0.8
bbb_martins,classification,auroc,rf,scaffold,0,0,0.9207291666666667,0.7576,396,0.5
bbb_martins,classification,auroc,rf,scaffold,0,1,0.9216666666666666,0.7576,396,0.5
bbb_martins,classification,auroc,rf,scaffold,0,2,0.9159201388888889,0.7576,396,0.5
bbb_martins,classification,auroc,xgboost,cluster,0,0,0.7308828814439166,0.8005,396,0.8
bbb_martins,classification,auroc,xgboost,cluster,0,1,0.7296849418999323,0.8005,396,0.8
bbb_martins,classification,auroc,xgboost,cluster,0,2,0.739667771433135,0.8005,396,0.8
bbb_martins,classification,auroc,rf,cluster,0,0,0.7360939184602484,0.8005,396,0.5
bbb_martins,classification,auroc,rf,cluster,0,1,0.7492512877850097,0.8005,396,0.5
bbb_martins,classification,auroc,rf,cluster,0,2,0.7431018647925568,0.8005,396,0.5
bbb_martins,classification,auroc,xgboost,random,1,0,0.8928680746862564,0.75,396,0.9
bbb_martins,classification,auroc,xgboost,random,1,1,0.8914396490154066,0.75,396,0.9
bbb_martins,classification,auroc,xgboost,random,1,2,0.8938543686018434,0.75,396,0.8
bbb_martins,classification,auroc,rf,random,1,0,0.9062850729517395,0.75,396,0.5
bbb_martins,classification,auroc,rf,random,1,1,0.9124579124579124,0.75,396,0.5
bbb_martins,classification,auroc,rf,random,1,2,0.9115396388123661,0.75,396,0.5
bbb_martins,classification,auroc,xgboost,scaffold,1,0,0.8871405721087675,0.7803,396,1.0
bbb_martins,classification,auroc,xgboost,scaffold,1,1,0.8737120113082617,0.7803,396,0.8
bbb_martins,classification,auroc,xgboost,scaffold,1,2,0.888107726072239,0.7803,396,0.9
bbb_martins,classification,auroc,rf,scaffold,1,0,0.8890004835769816,0.7803,396,0.5
bbb_martins,classification,auroc,rf,scaffold,1,1,0.8846296916266784,0.7803,396,0.9
bbb_martins,classification,auroc,rf,scaffold,1,2,0.8824163969795036,0.7803,396,1.2
bbb_martins,classification,auroc,xgboost,cluster,1,0,0.7407482799332329,0.8056,396,1.6
bbb_martins,classification,auroc,xgboost,cluster,1,1,0.7339901477832512,0.8056,396,1.2
bbb_martins,classification,auroc,xgboost,cluster,1,2,0.740300451899198,0.8056,396,1.3
bbb_martins,classification,auroc,rf,cluster,1,0,0.7592517200667671,0.8056,396,0.7
bbb_martins,classification,auroc,rf,cluster,1,1,0.7550584212026218,0.8056,396,0.7
bbb_martins,classification,auroc,rf,cluster,1,2,0.7511297479949518,0.8056,396,0.7
bbb_martins,classification,auroc,xgboost,random,2,0,0.9165621310507673,0.7778,396,1.4
bbb_martins,classification,auroc,xgboost,random,2,1,0.9118764757969304,0.7778,396,1.2
bbb_martins,classification,auroc,xgboost,random,2,2,0.9164514462809918,0.7778,396,1.3
bbb_martins,classification,auroc,rf,random,2,0,0.9128726387249114,0.7778,396,0.7
bbb_martins,classification,auroc,rf,random,2,1,0.9166543683589138,0.7778,396,0.7
bbb_martins,classification,auroc,rf,random,2,2,0.9142746458087367,0.7778,396,0.7
bbb_martins,classification,auroc,xgboost,scaffold,2,0,0.910081331567997,0.7854,396,1.5
bbb_martins,classification,auroc,xgboost,scaffold,2,1,0.9003215434083601,0.7854,396,1.4
bbb_martins,classification,auroc,xgboost,scaffold,2,2,0.9064876111216191,0.7854,396,1.3
bbb_martins,classification,auroc,rf,scaffold,2,0,0.8996406279553623,0.7854,396,0.7
bbb_martins,classification,auroc,rf,scaffold,2,1,0.9010592018157745,0.7854,396,0.6
bbb_martins,classification,auroc,rf,scaffold,2,2,0.9021940609041045,0.7854,396,0.6
bbb_martins,classification,auroc,xgboost,cluster,2,0,0.7577729430379746,0.798,396,1.3
bbb_martins,classification,auroc,xgboost,cluster,2,1,0.7544897151898734,0.798,396,1.8
bbb_martins,classification,auroc,xgboost,cluster,2,2,0.7684533227848102,0.798,396,1.4
bbb_martins,classification,auroc,rf,cluster,2,0,0.765625,0.798,396,0.7
bbb_martins,classification,auroc,rf,cluster,2,1,0.7774723101265824,0.798,396,0.7
bbb_martins,classification,auroc,rf,cluster,2,2,0.7738330696202532,0.798,396,0.5
bbb_martins,classification,auroc,xgboost,random,3,0,0.9254108260439923,0.7753,396,1.1
bbb_martins,classification,auroc,xgboost,random,3,1,0.9310105039710135,0.7753,396,0.9
bbb_martins,classification,auroc,xgboost,random,3,2,0.9300955239175785,0.7753,396,1.0
bbb_martins,classification,auroc,rf,random,3,0,0.9349449182007832,0.7753,396,0.8
bbb_martins,classification,auroc,rf,random,3,1,0.9344691285729971,0.7753,396,0.5
bbb_martins,classification,auroc,rf,random,3,2,0.9313764959923874,0.7753,396,0.5
bbb_martins,classification,auroc,xgboost,scaffold,3,0,0.9191390807810567,0.8005,396,0.9
bbb_martins,classification,auroc,xgboost,scaffold,3,1,0.9225731741404785,0.8005,396,0.9
bbb_martins,classification,auroc,xgboost,scaffold,3,2,0.9163838198298926,0.8005,396,0.9
bbb_martins,classification,auroc,rf,scaffold,3,0,0.906460887273889,0.8005,396,0.5
bbb_martins,classification,auroc,rf,scaffold,3,1,0.9084774188395959,0.8005,396,0.5
bbb_martins,classification,auroc,rf,scaffold,3,2,0.9080381743401351,0.8005,396,0.5
bbb_martins,classification,auroc,xgboost,cluster,3,0,0.7514833860759494,0.798,396,0.9
bbb_martins,classification,auroc,xgboost,cluster,3,1,0.7550435126582279,0.798,396,0.9
bbb_martins,classification,auroc,xgboost,cluster,3,2,0.762559335443038,0.798,396,0.9
bbb_martins,classification,auroc,rf,cluster,3,0,0.763014240506329,0.798,396,0.5
bbb_martins,classification,auroc,rf,cluster,3,1,0.7682950949367089,0.798,396,0.5
bbb_martins,classification,auroc,rf,cluster,3,2,0.7667128164556962,0.798,396,0.6
bbb_martins,classification,auroc,xgboost,random,4,0,0.9084821428571429,0.7879,396,0.9
bbb_martins,classification,auroc,xgboost,random,4,1,0.9092071123321124,0.7879,396,0.9
bbb_martins,classification,auroc,xgboost,random,4,2,0.9092071123321123,0.7879,396,0.8
bbb_martins,classification,auroc,rf,random,4,0,0.9036553724053725,0.7879,396,0.5
