dataset,task,metric,fm,split,split_seed,model_seed,score
ames,classification,auroc,chemberta,random,0,0,0.8961105827882001
ames,classification,auroc,chemberta,random,0,1,0.8969885594075099
ames,classification,auroc,chemberta,random,0,2,0.895240290865777
ames,classification,auroc,chemberta,scaffold,0,0,0.8137334070690622
ames,classification,auroc,chemberta,scaffold,0,1,0.8187287475578229
ames,classification,auroc,chemberta,scaffold,0,2,0.8199534240231771
ames,classification,auroc,chemberta,cluster,0,0,0.7365547925562423
ames,classification,auroc,chemberta,cluster,0,1,0.7440710439105219
ames,classification,auroc,chemberta,cluster,0,2,0.7397751895991332
ames,classification,auroc,chemberta,random,1,0,0.8858910544765951
ames,classification,auroc,chemberta,random,1,1,0.8828982246184454
ames,classification,auroc,chemberta,random,1,2,0.8877176102593787
ames,classification,auroc,chemberta,scaffold,1,0,0.8089747957707119
ames,classification,auroc,chemberta,scaffold,1,1,0.8187957936805679
ames,classification,auroc,chemberta,scaffold,1,2,0.8064960991631768
ames,classification,auroc,chemberta,cluster,1,0,0.7476209587246821
ames,classification,auroc,chemberta,cluster,1,1,0.7523470944348605
ames,classification,auroc,chemberta,cluster,1,2,0.7349759999361063
ames,classification,auroc,chemberta,random,2,0,0.8798862206246061
ames,classification,auroc,chemberta,random,2,1,0.8855599578848765
ames,classification,auroc,chemberta,random,2,2,0.8831743227214138
ames,classification,auroc,chemberta,scaffold,2,0,0.8246780120383363
ames,classification,auroc,chemberta,scaffold,2,1,0.8356769013699528
ames,classification,auroc,chemberta,scaffold,2,2,0.8275807640705515
ames,classification,auroc,chemberta,cluster,2,0,0.7405443974945615
ames,classification,auroc,chemberta,cluster,2,1,0.7404070641108061
ames,classification,auroc,chemberta,cluster,2,2,0.7395094212691594
ames,classification,auroc,chemberta,random,3,0,0.8882560393977573
ames,classification,auroc,chemberta,random,3,1,0.8869999290441481
ames,classification,auroc,chemberta,random,3,2,0.8886683504298583
ames,classification,auroc,chemberta,scaffold,3,0,0.8113721392958385
ames,classification,auroc,chemberta,scaffold,3,1,0.8079054920910508
ames,classification,auroc,chemberta,scaffold,3,2,0.8112242546228365
ames,classification,auroc,chemberta,cluster,3,0,0.7443530345673667
ames,classification,auroc,chemberta,cluster,3,1,0.7500060138077025
ames,classification,auroc,chemberta,cluster,3,2,0.7421860591919047
ames,classification,auroc,chemberta,random,4,0,0.8762171695505028
ames,classification,auroc,chemberta,random,4,1,0.8714161780828447
ames,classification,auroc,chemberta,random,4,2,0.8736469803136471
ames,classification,auroc,chemberta,scaffold,4,0,0.80785344331479
ames,classification,auroc,chemberta,scaffold,4,1,0.8102340303088433
ames,classification,auroc,chemberta,scaffold,4,2,0.8035823901784
ames,classification,auroc,chemberta,cluster,4,0,0.7508410682168551
ames,classification,auroc,chemberta,cluster,4,1,0.743572552672148
ames,classification,auroc,chemberta,cluster,4,2,0.7416254496402878
bbb_martins,classification,auroc,chemberta,random,0,0,0.9124364560639071
bbb_martins,classification,auroc,chemberta,random,0,1,0.9118917937545389
bbb_martins,classification,auroc,chemberta,random,0,2,0.9099673202614379
bbb_martins,classification,auroc,chemberta,scaffold,0,0,0.8843749999999999
bbb_martins,classification,auroc,chemberta,scaffold,0,1,0.8932291666666667
bbb_martins,classification,auroc,chemberta,scaffold,0,2,0.8919097222222221
bbb_martins,classification,auroc,chemberta,cluster,0,0,0.7573174140478377
bbb_martins,classification,auroc,chemberta,cluster,0,1,0.7552010541867987
bbb_martins,classification,auroc,chemberta,cluster,0,2,0.7496905322844708
bbb_martins,classification,auroc,chemberta,random,1,0,0.8967112199435432
bbb_martins,classification,auroc,chemberta,random,1,1,0.8887188382137877
bbb_martins,classification,auroc,chemberta,random,1,2,0.8968472604836242
bbb_martins,classification,auroc,chemberta,scaffold,1,0,0.8917159543205743
bbb_martins,classification,auroc,chemberta,scaffold,1,1,0.8914555667150244
bbb_martins,classification,auroc,chemberta,scaffold,1,2,0.8987464196704236
bbb_martins,classification,auroc,chemberta,cluster,1,0,0.7667223059072589
bbb_martins,classification,auroc,chemberta,cluster,1,1,0.7798314538126451
bbb_martins,classification,auroc,chemberta,cluster,1,2,0.7658673614786468
bbb_martins,classification,auroc,chemberta,random,2,0,0.9071908205430933
bbb_martins,classification,auroc,chemberta,random,2,1,0.9078918240850058
bbb_martins,classification,auroc,chemberta,random,2,2,0.9102530991735538
bbb_martins,classification,auroc,chemberta,scaffold,2,0,0.903120862492907
bbb_martins,classification,auroc,chemberta,scaffold,2,1,0.8996406279553623
bbb_martins,classification,auroc,chemberta,scaffold,2,2,0.9025534329487422
bbb_martins,classification,auroc,chemberta,cluster,2,0,0.7727650316455695
bbb_martins,classification,auroc,chemberta,cluster,2,1,0.7826542721518988
bbb_martins,classification,auroc,chemberta,cluster,2,2,0.7715783227848102
bbb_martins,classification,auroc,chemberta,random,3,0,0.9291805438641437
bbb_martins,classification,auroc,chemberta,random,3,1,0.9383669436006294
bbb_martins,classification,auroc,chemberta,random,3,2,0.9331698568971196
bbb_martins,classification,auroc,chemberta,scaffold,3,0,0.9218943417322205
bbb_martins,classification,auroc,chemberta,scaffold,3,1,0.9157449187397676
bbb_martins,classification,auroc,chemberta,scaffold,3,2,0.924130495547658
