dataset,metric,model,mean,std
ames,auroc,xgboost,0.832,0.001
bbb_martins,auroc,xgboost,0.872,0.006
bioavailability_ma,auroc,xgboost,0.693,0.006
caco2_wang,mae,xgboost,0.386,0.03
clearance_hepatocyte_az,spearman,xgboost,0.316,0.017
clearance_microsome_az,spearman,xgboost,0.425,0.021
cyp2c9_substrate_carbonmangels,auprc,xgboost,0.371,0.012
cyp2c9_veith,auprc,xgboost,0.753,0.003
cyp2d6_substrate_carbonmangels,auprc,xgboost,0.633,0.016
cyp2d6_veith,auprc,xgboost,0.633,0.004
cyp3a4_substrate_carbonmangels,auroc,xgboost,0.641,0.01
cyp3a4_veith,auprc,xgboost,0.852,0.002
dili,auroc,xgboost,0.857,0.004
half_life_obach,spearman,xgboost,0.301,0.028
herg,auroc,xgboost,0.727,0.008
hia_hou,auroc,xgboost,0.955,0.002
ld50_zhu,mae,xgboost,0.634,0.011
lipophilicity_astrazeneca,mae,xgboost,0.666,0.004
pgp_broccatelli,auroc,xgboost,0.908,0.004
ppbr_az,mae,xgboost,10.27,0.224
solubility_aqsoldb,mae,xgboost,1.254,0.009
vdss_lombardo,spearman,xgboost,0.401,0.016
